cliente_id;nome;cidade
883df451-c465-45e6-9546-ac130f39b1c0;Sheri Perez;Lisboa
5c9212e1-f37c-4760-958c-5f6de57ed02a;Adam Brown;Lisboa
6c7e2546-b618-46d8-98d7-f1440c5445b1;Christopher Murphy;Lisboa
f045ce93-41d1-40e0-8ff6-9808d38e85bf;Denise Clark;Lisboa
3ad7fc00-a872-499d-88d1-3ec7d3a575c9;Tyler Hess;Lisboa
f05d52d0-77f0-4442-9265-7c54ca0ea386;Jose Carr;Lisboa
a51c8789-7ba5-41c0-9c82-7eb148791d49;Luis Harris;Lisboa
c6691b32-f627-43a5-9227-55dc9fe676c9;Lori Flores;Lisboa
3eb8bbd9-4043-4cc7-8167-60d500c84fcc;James Kelley;Lisboa
6c6a16bb-3bcc-43fe-8d9f-41195b3ace2b;John Morris;Lisboa
c6af4138-8683-43a9-b04b-7c72778d2c2e;Brian Moss;Lisboa
5a43544a-e29d-4e36-89db-d0535b5e3771;Katie Hall;Lisboa
970a9be2-6163-4093-848e-563986dc47dd;Adam Gordon;Lisboa
9b0b5d39-b4e2-407a-ba19-09c81a1b4336;Randy Golden;Lisboa
cbacab4a-838e-4268-bf04-f5bb2e456ad5;Jennifer Roberts;Lisboa
ab3b149f-7822-40c2-b169-50eff45db216;Alison Chambers;Lisboa
673cf5b0-3d42-4208-a4b3-683d844ed39a;William Marsh;Lisboa
2d63c003-2d9a-4485-b4ce-66a88497d717;Jesse Harris;Lisboa
86a2dd53-0dd9-475c-8ea3-e255e2d7f7e6;Samantha Hensley;Lisboa
18c764f5-4d62-4922-86d5-153de8a5ed16;David Owens;Lisboa
82d8e809-b5fd-4a20-8d0f-4038c4579e20;David Farmer;Lisboa
ceb9fcf9-f4e9-46b8-9132-484c38d6decb;Renee Perkins;Lisboa
645966ac-1d87-4991-a431-7119ab785d4f;Heather Ward;Lisboa
827c31e8-fcad-4d86-a117-338196e1ef61;Amy Weaver;Lisboa
fc228b4b-4d59-4031-bb74-c5960f4b83c4;Beth Douglas;Lisboa
96c947b0-d0cd-4d35-8a09-f29299012333;Tina Hart;Lisboa
5a9bece0-4fe4-4db1-b91f-89259f9b2088;Dana Washington;Lisboa
95f010d7-545c-4781-85f2-5fd389df4b4d;William Lopez;Lisboa
dd5bba40-5e0e-42d5-8fca-0332e1759719;Debra Brooks;Lisboa
f4f1c3d4-357a-4eed-819f-cc7c8cc18236;Christopher Estrada;Lisboa
dbabfa14-e6e6-4ef8-a69d-1c2bfd7ffed0;Samantha Andrews;Lisboa
cfaf4c94-fdd3-499e-be60-620ce59e55a5;Yvonne Edwards;Lisboa
0ca6f021-2e2d-4ebe-97da-29ea82d2d766;Corey Martinez;Lisboa
ee1f225c-baea-4a35-9030-e9a3a76284de;Christina Howard;Lisboa
8bd2bad1-9809-4557-b1cf-751a005fbc1c;Amanda Fox;Lisboa
56b61cd2-4700-478d-b539-c0c12e77952a;Ronald Kirk;Lisboa
a7425e9e-2963-495c-874f-f1491647da73;Melissa Hebert;Lisboa
a55c1ea4-3cae-4ae5-bf44-3c73bf4626e0;Kyle Sims;Lisboa
89c55225-507b-4981-8f73-d0b1cabe5627;Omar Adams;Lisboa
20ed7f1c-e5d7-4378-b25b-0eeee3a5904c;Tyler Morris;Lisboa
917f4bd7-0188-4303-b60c-a40e0ed84cc2;Jamie Garcia;Lisboa
80e173ef-6caf-4008-9306-4319dcb3b65f;Alexander Robinson;Lisboa
600d1327-9eaf-4036-8040-0d063d34eaf0;Shelia Gray;Lisboa
b1ae22d3-6c66-4b52-9d68-75aa1705d2b0;Courtney Rodriguez;Lisboa
7eb0a79a-3b5e-4028-b574-a3ebf8624a9f;Bryan Mcdonald;Lisboa
5ccafbf9-5ff7-434c-85c7-9928c9621bd8;Jessica Johnson;Lisboa
e0325f89-b00a-4065-a29c-32f356dd6256;Nathan Davidson;Lisboa
d9258f32-f771-4e2b-9c5d-9b832f2c9594;Robert Potter;Lisboa
978f5027-a020-40d1-ad6e-33809d48b5dc;Kimberly Thornton;Lisboa
bcde6f79-9fe8-4824-a0d5-6eb5974c8650;Martha Martin;Lisboa
4ea5b553-d7a9-429b-b112-71640b3ac54a;Andrea Evans;Lisboa
e54a2bda-baa3-4e8f-9911-1f6f4083fd0b;Autumn Fisher;Lisboa
8076dbbd-dd85-4e73-987b-e2aecb38cc47;Michelle Cooper;Lisboa
f3c73d5a-fd6c-4171-b8de-31d35a78e4cd;Matthew Yang;Lisboa
f790e255-c379-4dff-b1e9-88adcf16d67a;Rachel Jennings;Lisboa
328ba88e-ecc5-4b08-9a5f-94052d0b75c7;Stephanie Meadows;Lisboa
febfbf6d-3296-4f2a-970c-9e879fc01e0d;David Miller;Lisboa
f680c351-98a9-4509-baac-622d804ee2c6;Jessica Cohen;Lisboa
4af68df8-35ef-4ebe-a4a3-c9a6bcd02eb6;Mr. Ruben Dean DDS;Lisboa
